TrackId,Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes,UnitPrice
2901,Homecoming,230,3,19,,2515882,210675221,1.99
2902,Maternity Leave,231,3,21,,2780416,555244214,1.99
2903,Left Behind,229,3,21,,2635343,538491964,1.99
2904,Outlaws,230,3,19,,2619887,206500939,1.99
2905,The Whole Truth,231,3,21,,2610125,495487014,1.99
2906,...In Translation,230,3,19,,2604575,215441983,1.99
2907,Lockdown,231,3,21,,2610250,543886056,1.99
2908,One of Us,229,3,21,,2638096,502387276,1.99
2909,Catch-22,229,3,21,,2561394,489773399,1.99
2910,Dave,231,3,19,,2825166,574325829,1.99
2911,Numbers,230,3,19,,2609772,214709143,1.99
2912,D.O.C.,229,3,21,,2616032,518556641,1.99
2913,Deus Ex Machina,230,3,19,,2582009,214996732,1.99
2914,S.O.S.,231,3,19,,2639541,517979269,1.99
2915,Do No Harm,230,3,19,,2618487,212039309,1.99
2916,Two for the Road,231,3,21,,2610958,502404558,1.99
2917,The Greater Good,230,3,19,,2617784,214130273,1.99
2918,"""?""",231,3,19,,2782333,528227089,1.99
2919,Born to Run,230,3,19,,2618619,213772057,1.99
2920,Three Minutes,231,3,19,,2763666,531556853,1.99
2921,Exodus (Part 1),230,3,19,,2620747,213107744,1.99
2922,"Live Together, Die Alone, Pt. 1",231,3,21,,2478041,457364940,1.99
2923,Exodus (Part 2) [Season Finale],230,3,19,,2605557,208667059,1.99
2924,"Live Together, Die Alone, Pt. 2",231,3,19,,2656531,503619265,1.99
2925,Exodus (Part 3) [Season Finale],230,3,19,,2619869,197937785,1.99
2926,Zoo Station,232,1,1,U2,276349,9056902,0.99
2927,Even Better Than The Real Thing,232,1,1,U2,221361,7279392,0.99
2928,One,232,1,1,U2,276192,9158892,0.99
2929,Until The End Of The World,232,1,1,U2,278700,9132485,0.99
2930,Who's Gonna Ride Your Wild Horses,232,1,1,U2,316551,10304369,0.99
2931,So Cruel,232,1,1,U2,349492,11527614,0.99
2932,The Fly,232,1,1,U2,268982,8825399,0.99
2933,Mysterious Ways,232,1,1,U2,243826,8062057,0.99
2934,Tryin' To Throw Your Arms Around The World,232,1,1,U2,232463,7612124,0.99
2935,Ultraviolet (Light My Way),232,1,1,U2,330788,10754631,0.99
2936,Acrobat,232,1,1,U2,270288,8824723,0.99
2937,Love Is Blindness,232,1,1,U2,263497,8531766,0.99
2938,Beautiful Day,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",248163,8056723,0.99
2939,Stuck In A Moment You Can't Get Out Of,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",272378,8997366,0.99
2940,Elevation,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",227552,7479414,0.99
2941,Walk On,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",296280,9800861,0.99
2942,Kite,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",266893,8765761,0.99
2943,In A Little While,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",219271,7189647,0.99
2944,Wild Honey,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",226768,7466069,0.99
2945,Peace On Earth,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",288496,9476171,0.99
2946,When I Look At The World,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",257776,8500491,0.99
2947,New York,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",330370,10862323,0.99
2948,Grace,233,1,1,"Adam Clayton, Bono, Larry Mullen, The Edge",330657,10877148,0.99
2949,The Three Sunrises,234,1,1,U2,234788,7717990,0.99
2950,Spanish Eyes,234,1,1,U2,196702,6392710,0.99
2951,Sweetest Thing,234,1,1,U2,185103,6154896,0.99
2952,Love Comes Tumbling,234,1,1,U2,282671,9328802,0.99
2953,Bass Trap,234,1,1,U2,213289,6834107,0.99
2954,Dancing Barefoot,234,1,1,Ivan Kral/Patti Smith,287895,9488294,0.99
2955,Everlasting Love,234,1,1,Buzz Cason/Mac Gayden,202631,6708932,0.99
2956,Unchained Melody,234,1,1,Alex North/Hy Zaret,294164,9597568,0.99
2957,Walk To The Water,234,1,1,U2,289253,9523336,0.99
2958,Luminous Times (Hold On To Love),234,1,1,Brian Eno/U2,277760,9015513,0.99
2959,Hallelujah Here She Comes,234,1,1,U2,242364,8027028,0.99
2960,Silver And Gold,234,1,1,Bono,279875,9199746,0.99
2961,Endless Deep,234,1,1,U2,179879,5899070,0.99
2962,A Room At The Heartbreak Hotel,234,1,1,U2,274546,9015416,0.99
2963,"Trash, Trampoline And The Party Girl",234,1,1,U2,153965,5083523,0.99
2964,Vertigo,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",194612,6329502,0.99
2965,Miracle Drug,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",239124,7760916,0.99
2966,Sometimes You Can't Make It On Your Own,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",308976,10112863,0.99
2967,Love And Peace Or Else,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",290690,9476723,0.99
2968,City Of Blinding Lights,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",347951,11432026,0.99
2969,All Because Of You,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",219141,7198014,0.99
2970,A Man And A Woman,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",270132,8938285,0.99
2971,Crumbs From Your Table,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",303568,9892349,0.99
2972,One Step Closer,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",231680,7512912,0.99
2973,Original Of The Species,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",281443,9230041,0.99
2974,Yahweh,235,1,1,"Adam Clayton, Bono, Larry Mullen & The Edge",262034,8636998,0.99
2975,Discotheque,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",319582,10442206,0.99
2976,Do You Feel Loved,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",307539,10122694,0.99
2977,Mofo,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",349178,11583042,0.99
2978,If God Will Send His Angels,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",322533,10563329,0.99
2979,Staring At The Sun,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",276924,9082838,0.99
2980,Last Night On Earth,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",285753,9401017,0.99
2981,Gone,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",266866,8746301,0.99
2982,Miami,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",293041,9741603,0.99
2983,The Playboy Mansion,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",280555,9274144,0.99
2984,If You Wear That Velvet Dress,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",315167,10227333,0.99
2985,Please,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",302602,9909484,0.99
2986,Wake Up Dead Man,236,1,1,"Bono, The Edge, Adam Clayton, and Larry Mullen",292832,9515903,0.99
2987,Helter Skelter,237,1,1,"Lennon, John/McCartney, Paul",187350,6097636,0.99
2988,Van Diemen's Land,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",186044,5990280,0.99
2989,Desire,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",179226,5874535,0.99
2990,Hawkmoon 269,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",382458,12494987,0.99
2991,All Along The Watchtower,237,1,1,"Dylan, Bob",264568,8623572,0.99
2992,I Still Haven't Found What I'm Looking for,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",353567,11542247,0.99
2993,Freedom For My People,237,1,1,"Mabins, Macie/Magee, Sterling/Robinson, Bobby",38164,1249764,0.99
2994,Silver And Gold,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",349831,11450194,0.99
2995,Pride (In The Name Of Love),237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",267807,8806361,0.99
2996,Angel Of Harlem,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",229276,7498022,0.99
2997,Love Rescue Me,237,1,1,"Bono/Clayton, Adam/Dylan, Bob/Mullen Jr., Larry/The Edge",384522,12508716,0.99
2998,When Love Comes To Town,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",255869,8340954,0.99
2999,Heartland,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",303360,9867748,0.99
3000,God Part II,237,1,1,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",195604,6497570,0.99
